n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.101523E-02  -0.123217E-05   0.138614E+00   0.138013E+00   0.334451E+00   0.330631E+00   0.247223E+02   0.435345E+02   0.577442E-02      0.188053E-02        0.263480E-02        0.280596E-02        0.187328E-02        0.263263E-02        0.279176E-02        0.132798E+00        0.180992E+00        0.204280E+00     0.104546E-06   0.258665E-05  -0.319000E-07   0.274040E-05   0.147641E-02   0.235290E-04   0.500792E-03   0.603390E-01  -0.104007E-01   0.600484E-01  -0.148022E-01      0.428182E+02     0.000000E+00    0.100010E+05
   1  drift  0.500000E-01   0.101523E-02  -0.124099E-05   0.139083E+00   0.138609E+00   0.335140E+00   0.333408E+00   0.247423E+02   0.456298E+02   0.577442E-02      0.188053E-02        0.263480E-02        0.280596E-02        0.187328E-02        0.263263E-02        0.279176E-02        0.132798E+00        0.181148E+00        0.204225E+00     0.117479E-06   0.258665E-05  -0.181980E-07   0.274040E-05   0.147641E-02   0.879514E-02  -0.823643E-01   0.607483E-01  -0.936760E-01   0.605688E-01   0.427850E-01      0.428873E+02     0.000000E+00    0.100010E+05
   2  extrc  0.975800E+00   0.710693E-02   0.244645E-03   0.114650E+00   0.114924E+00   0.276265E+00   0.280283E+00   0.257724E+02   0.562459E+02   0.824900E-03      0.188052E-02        0.263947E-02        0.278131E-02        0.187316E-02        0.263563E-02        0.279198E-02        0.132803E+00        0.181064E+00        0.204131E+00    -0.842190E-06  -0.111006E-04  -0.719898E-05  -0.825456E-04   0.390631E-02   0.558780E-01  -0.759597E+00   0.109218E+00  -0.758040E+00   0.110173E+00   0.294872E+00      0.325730E+03     0.000000E+00    0.100010E+05
   3  extrc  0.190160E+01   0.131986E-01   0.221762E-03   0.175570E+00   0.175067E+00   0.423773E+00   0.419374E+00   0.260351E+02   0.577785E+02   0.444169E-03      0.188052E-02        0.264225E-02        0.278131E-02        0.187315E-02        0.263563E-02        0.279198E-02        0.132802E+00        0.181219E+00        0.204075E+00    -0.165773E-05  -0.947697E-05  -0.129867E-04  -0.688102E-04   0.532341E-02   0.551369E-01  -0.180637E+01   0.349036E+00  -0.179133E+01   0.348407E+00   0.330462E+00      0.617329E+03     0.000000E+00    0.100010E+05
   4  extrc  0.282740E+01   0.192903E-01   0.294916E-03   0.236543E+00   0.235391E+00   0.566521E+00   0.569863E+00   0.261693E+02   0.585086E+02   0.303893E-03      0.188053E-02        0.263968E-02        0.278154E-02        0.187315E-02        0.263566E-02        0.279201E-02        0.132799E+00        0.181029E+00        0.204091E+00    -0.232365E-05  -0.780786E-05  -0.176367E-04  -0.591783E-04   0.643571E-02   0.526801E-01  -0.268247E+01   0.765944E+00  -0.265648E+01   0.761491E+00   0.347311E+00      0.911593E+03     0.000000E+00    0.100010E+05
   5  extrc  0.375320E+01   0.253820E-01   0.422331E-03   0.291373E+00   0.289692E+00   0.701718E+00   0.698414E+00   0.262546E+02   0.589596E+02   0.230944E-03      0.188055E-02        0.263971E-02        0.278157E-02        0.187313E-02        0.263562E-02        0.279197E-02        0.132798E+00        0.180755E+00        0.204243E+00    -0.293951E-05  -0.127440E-04  -0.218646E-04  -0.604232E-04   0.738228E-02   0.489756E-01  -0.343733E+01   0.133310E+01  -0.340212E+01   0.132299E+01   0.357534E+00      0.120731E+04     0.000000E+00    0.100010E+05
   6  extrc  0.467900E+01   0.314738E-01   0.587156E-03   0.340854E+00   0.338721E+00   0.823092E+00   0.822113E+00   0.263150E+02   0.592755E+02   0.186247E-03      0.188066E-02        0.264142E-02        0.278044E-02        0.187316E-02        0.263634E-02        0.278389E-02        0.132809E+00        0.181021E+00        0.204543E+00    -0.373436E-05  -0.870960E-05  -0.263296E-04  -0.629013E-04   0.822057E-02   0.440437E-01  -0.410451E+01   0.203137E+01  -0.406124E+01   0.201405E+01   0.364504E+00      0.150384E+04     0.000000E+00    0.100010E+05
   7  extrc  0.560480E+01   0.375656E-01   0.774883E-03   0.386052E+00   0.383517E+00   0.932193E+00   0.933327E+00   0.263608E+02   0.595143E+02   0.156075E-03      0.188078E-02        0.263993E-02        0.277888E-02        0.187317E-02        0.262956E-02        0.281236E-02        0.132851E+00        0.181044E+00        0.205033E+00    -0.537870E-05  -0.262745E-04  -0.312431E-04  -0.651732E-04   0.898096E-02   0.379314E-01  -0.470547E+01   0.284666E+01  -0.465515E+01   0.282083E+01   0.369499E+00      0.180060E+04     0.000000E+00    0.100010E+05
   8  extrc  0.653060E+01   0.436574E-01   0.973749E-03   0.427803E+00   0.424906E+00   0.103195E+01   0.103504E+01   0.263971E+02   0.597042E+02   0.134367E-03      0.188089E-02        0.264206E-02        0.277820E-02        0.187328E-02        0.263299E-02        0.281603E-02        0.132945E+00        0.181695E+00        0.206707E+00    -0.847798E-05  -0.378627E-04  -0.350470E-04  -0.494009E-04   0.968182E-02   0.307217E-01  -0.525547E+01   0.376826E+01  -0.519859E+01   0.373251E+01   0.373132E+00      0.209686E+04     0.000000E+00    0.100010E+05
   9  extrc  0.745640E+01   0.497492E-01   0.117984E-02   0.466734E+00   0.463504E+00   0.112433E+01   0.112923E+01   0.264266E+02   0.598614E+02   0.118022E-03      0.188086E-02        0.264041E-02        0.277938E-02        0.187349E-02        0.263431E-02        0.282348E-02        0.133102E+00        0.182560E+00        0.212032E+00    -0.123023E-04  -0.529599E-04  -0.384131E-04  -0.492626E-04   0.103353E-01   0.225189E-01  -0.576530E+01   0.478811E+01  -0.570155E+01   0.474064E+01   0.375762E+00      0.239198E+04     0.000000E+00    0.100010E+05
